id,t_base,width,length,stress,rth,Temp,area
128,3.046875,86.5625,42.8125,866796135.4,0.786148759,27.86148759,3705.957031
129,4.046875,26.5625,22.8125,881967954.5,0.715662096,27.15662096,605.9570313
130,2.046875,66.5625,62.8125,981082527.3,1.030528203,30.30528203,4180.957031
131,2.546875,36.5625,52.8125,927435241.3,0.931640657,29.31640657,1930.957031
132,4.546875,76.5625,92.8125,860895678.9,0.715596907,27.15596907,7105.957031
133,3.546875,56.5625,72.8125,862437879.9,0.682023759,26.82023759,4118.457031
134,1.546875,96.5625,32.8125,970791377,0.887530547,28.87530547,3168.457031
135,1.796875,21.5625,67.8125,940452189.1,0.888620485,28.88620485,1462.207031
136,3.796875,61.5625,27.8125,994856849.4,0.800748659,28.00748659,1712.207031
137,4.796875,41.5625,47.8125,891914712.2,0.87665968,28.7665968,1987.207031
138,2.796875,81.5625,87.8125,873462326.8,0.776079451,27.76079451,7162.207031
139,2.296875,51.5625,37.8125,967373981.1,1.076847628,30.76847628,1949.707031
140,4.296875,91.5625,77.8125,914886466.3,0.839225815,28.39225815,7124.707031
141,3.296875,31.5625,97.8125,862607026,0.640968729,26.40968729,3087.207031
142,1.296875,71.5625,57.8125,864730539.9,0.608678814,26.08678814,4137.207031
143,1.421875,34.0625,25.3125,908839149.9,0.9318354,29.318354,862.2070313
144,3.421875,74.0625,65.3125,960565684,0.944346348,29.44346348,4837.207031
145,4.421875,54.0625,85.3125,917971137.4,0.782725297,27.82725297,4612.207031
146,2.421875,94.0625,45.3125,869871526.1,0.702159668,27.02159668,4262.207031
147,2.921875,44.0625,75.3125,886783221.2,0.839370237,28.39370237,3318.457031
148,4.921875,84.0625,35.3125,987965280.7,0.99867192,29.9867192,2968.457031
149,3.921875,24.0625,55.3125,933894393.2,0.741252411,27.41252411,1330.957031
150,1.921875,64.0625,95.3125,861283550.1,0.731346956,27.31346956,6105.957031
151,1.671875,59.0625,40.3125,861326348.7,0.625162281,26.25162281,2380.957031
152,3.671875,99.0625,80.3125,921092606.7,0.950635931,29.50635931,7955.957031
153,4.671875,39.0625,60.3125,974216004,0.907147088,29.07147088,2355.957031
154,2.671875,79.0625,20.3125,877511840.3,0.794795986,27.94795986,1605.957031
155,2.171875,29.0625,90.3125,864296974.2,0.681023993,26.81023993,2624.707031
156,4.171875,69.0625,50.3125,861859704.3,0.695132712,26.95132712,3474.707031
157,3.171875,49.0625,30.3125,947092633.1,0.863483998,28.63483998,1487.207031
158,1.171875,89.0625,70.3125,897323756.2,0.812181005,28.12181005,6262.207031
159,1.234375,25.3125,46.5625,871091479.4,0.629229258,26.29229258,1178.613281
160,3.234375,65.3125,86.5625,870159586.1,0.603708526,26.03708526,5653.613281
161,4.234375,45.3125,66.5625,898701003.4,0.936044765,29.36044765,3016.113281
162,2.234375,85.3125,26.5625,948774841.8,0.861586529,28.61586529,2266.113281
