name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
FC-40(@25degC),,,,,,,,,,FC-40(@25degC),,,,Conductor,
FC-43(@25degC),,,,,,,,,,FC-43(@25degC),,,,Conductor,
FC-72(@25degC),,,,,,,,,,FC-72(@25degC),,,,Conductor,
FC-75,,,,,,,,,,FC-75,,,,Conductor,
FC-78,,,,,,,,,,FC-78,,,,Conductor,
FC-88,,,,,,,,,,FC-88,,,,Conductor,
FR-4,,,,,,,,,,FR-4,,,,Conductor,
FR-4_Ref,,,,,,,,,,FR-4_Ref,,,,Conductor,
FR4_epoxy,0.294,,1150,,1900,,,4.4,,FR4_epoxy,11000000000,0.28,1.50E-05,Conductor,
Fe-Cast(Grey),,,,,,,,,,Fe-Cast(Grey),,,,Conductor,
Fe-Cast(White),,,,,,,,,,Fe-Cast(White),,,,Conductor,
Fe-Pure,,,,,,,,,,Fe-Pure,,,,Conductor,
Fe-Pure_Ref,,,,,,,,,,Fe-Pure_Ref,,,,Conductor,
Fe-Wrought,,,,,,,,,,Fe-Wrought,,,,Conductor,
Fields_Metal,18.9,18.5,300,250,7900,7700,,,,Fields_Metal,,,,PCM,59
Flipchip_underfill,,,,,,,,,,Flipchip_underfill,,,,Conductor,
Flouroethylene Resin-JSME,,,,,,,,,,Flouroethylene Resin-JSME,,,,Conductor,
Freon-C-51-12,,,,,,,,,,Freon-C-51-12,,,,Conductor,
Freon-E5,,,,,,,,,,Freon-E5,,,,Conductor,
Freon-TF,,,,,,,,,,Freon-TF,,,,Conductor,
GE GETEK ML200/RG200 (tm),,,,,,,,3.9,,GE GETEK ML200/RG200 (tm),,,,Conductor,
GIL GML1000 (tm),,,,,,,,3.12,,GIL GML1000 (tm),,,,Conductor,
GIL GML1032 (tm),,,,,,,,3.2,,GIL GML1032 (tm),,,,Conductor,
GIL GML2032 (tm),,,,,,,,3.2,,GIL GML2032 (tm),,,,Conductor,
GIL MC5 (tm),,,,,,,,3.2,,GIL MC5 (tm),,,,Conductor,
Ge-Typical,,,,,,,,,,Ge-Typical,,,,Conductor,
Ge-n type,,,,,,,,,,Ge-n type,,,,Conductor,
Glycol-20,,,,,,,,,,Glycol-20,,,,Conductor,
Glycol-34,,,,,,,,,,Glycol-34,,,,Conductor,
Glycol-50,,,,,,,,,,Glycol-50,,,,Conductor,
Glycol-60,,,,,,,,,,Glycol-60,,,,Conductor,
Glycol-80,,,,,,,,,,Glycol-80,,,,Conductor,
Graphite-Typical,,,,,,,,,,Graphite-Typical,,,,Conductor,
HDPE plastic,,,,,,,,,,HDPE plastic,,,,Conductor,
Hard Vinyl Chloride-JSME,,,,,,,,,,Hard Vinyl Chloride-JSME,,,,Conductor,
Helium,,,,,,,,,,Helium,,,,Conductor,
Helium(@366K),,,,,,,,,,Helium(@366K),,,,Conductor,
Hydrogen,,,,,,,,,,Hydrogen,,,,Conductor,
Isola Astra (R),,,,,,,,,,Isola Astra (R),,,,Conductor,
Isola Chronon (tm),,,,,,,,,,Isola Chronon (tm),,,,Conductor,
Isola FR408,,,,,,,,,,Isola FR408,,,,Conductor,
Isola FR408HR,,,,,,,,,,Isola FR408HR,,,,Conductor,
Isola FR408HRIS,,,,,,,,,,Isola FR408HRIS,,,,Conductor,
Isola GigaSync (R),,,,,,,,,,Isola GigaSync (R),,,,Conductor,
